Nom abrégé;Tél. int.;C. P.;Ville;Téléphone;Fax;Vte s/souche;Date mise en vente;Date fermeture;Fam.;Raison sociale;Région                        ;Email;Représentant
FRANCE RHONE VALLEY;;84231;CHATEAUNEUF DU PAPE;04.90.34.14.86;04.90.34.71.08;Non;;;;FRANCE RHONE VALLEY;;;
FRATERNELLE;;34160;GALARGUES;04.67.86.96.45;04.67.86.14.14;Non;;;;SCA LA FRATERNELLE;;buzi2@wanadoo.fr;
FREYTES 1;;34370;MARAUSSAN;04.67.90.34.05;;Non;;;;MR FREYTES GERARD;;;
FREYTES MARIE-CLAUDE;;34370;MARAUSSAN;04.67.90.34.05;;Non;;;;MME FREYTES MARIE-CLAUDE;;;
FRIEDMANN;;84290;STE CECILE LES VIGNES;04.90.11.16.90;;Non;;;;CAVES FRIEDMANN;;;
FROMONT;;89144;LIGNY LE CHATEL;03.86.98.20.40;03.86.47.40.72;Non;;;;SAS MAISON JEAN-CLAUDE FROMONT;;;
FRONTIGNAN;;34110;FRONTIGNAN;04.67.48.12.26;04.67.43.07.17;Non;;;;FRONTIGNAN NEGOCE;;cc.frontignancoop@wanadoo.fr;
G.A.E.C DEVY;;66180;VILLENEUVE DE LA RAHO;04.68.55.91.10;;Non;;;;G.A.E.C DEVY;;;
GACHON;;30300;FOURQUES;0626561538;04 66 01 11 99;Non;;;;EARL MAS BELLEVUE;;;
GAEC JUSTAMON;;07700;ST MARCEL D'ARDECHE;04.75.04.67.89;;Non;;;;GAEC JUSTAMOND;;justamond.didier@wanadoo.fr;
GAEC MOULIN;;30250;VILLEVIEILLE;04.6.80.08.17;;Non;;;;GAEC MOULIN;;;
GAIA;;84600;VALREAS;04.75.98.01.82;04.75.98.39.09;Non;;;;EARL GAIA;;vmarres@hotmail.com;
GAILLARD DE SYRAN;;30330;CONNAUX;04.66.33.18.57;04.66.50.81.14;Non;;;;SARL GAILLARD DE SYRAN;;gaillarddesyran@wanadoo.fr;
GALIGNAN;;13104;MAS THIBERT;04.90.98.70.82;04.90.98.79.71;Non;;;;DOMAINE DU GRAND GALIGNAN;;;
GALLARGUES LE M.;;30660;GALLARGUES LE MONTUEUX;04.66.35.09.91;04.66.35.15.70;Non;;;;CAVE COOP GALLARGUES LE MONTUEUX;;;
GALLICIAN (COOP);;30600;GALLICIAN;04.66.73.31.65;04.66.73.34.95;Non;;;;CAVE COOPERATIVE DE GALLICIAN;;;
GANDOIN (DMNE);;30127;BELLEGARDE;04.30.03.14.48;;Non;;;;Mr Paul Edgard Gandouin;;;
GANDOUIN 1;;30127;BELLEGARDE;;;Non;;;;MADAME GANDOUIN MARYLINE;;;
GANDOUIN 2;;30127;BELLEGARDE;;;Non;;;;MADAME GANDOUIN CHRISTINE;;;
GARCIA MICHEL;;30290;LAUDUN;04.66.79.42.79;04.66.79.42.79;Non;;;;MONSIEUR GARCIA MICHEL;;garcia.ribas@wanadoo.fr;
GARDIES;;30610;ST NAZAIRE DES GARDIES;06.69.00.12.24;;Non;;;;SCEA VIGNOBLE DES GARDIES;;horace.pictet@gmail.com;
GARDINE;;84230;CHATEAUNEUF DU PAPE;04.90.83.72.20;04.90.83.77.24;Non;;;;BRUNEL PERE ET FILS;;;
GARIN ALEXIIS;;34620;PUISSERGUIER;04.67.93.80.46;;Non;;;;GARIN ALEXIS;;alix2000@cegetel.net;
GARIN ALEXIS;;34620;PUISSERGUIER;04.67.93.80.46;;Non;;;;GARIN ALEXIS;;;
GARIN SERGE;;34620;PUISSERGUIER;04.67.93.80.46;;Non;;;;GARIN SERGE DOMAINE PECH DE ST PAUL;;24 BD J.JAURES POUR CHARGEMENT;
GARNIER SEBASTIEN;;83340;FLASSANS/ISSOLE;04.94.69.73.33;;Non;;;;MR GARNIER SEBASTIEN;;;
GASCON;;07200;ROCHECOLOMBE;04.75.37.71.22;;Non;;;;GASCON CLAUDE;;;
GASSIER MICHEL;;30132;CAISSARGUES;04.66.38.44.31;04.66.38.44.21;Non;;;;VIGNOBLES GASSIER MICHEL;;SIRET 422 835 587 00011;
GAUDIN;;84190;GIGONDAS;04.90.65.86.75;04.90.65.80.29;Non;;;;GAUDIN ROLLAND EARL;;;
GAUFFRES (DMNE);;30920;CODOGNAN;04 66 35 18 00;04.66.35.21.46;Non;;;;Mr Gaufres Michel;;;
GAUGET VINCENT;;34500;BEZIERS;04.67.49.38.44;04.67.28.15.09;Non;;;;GAUGET VINCENT EXPLOITATION;;;
GAUJAL;;34500;BEZIERS;04.67.77.41.56;04.67.30.19.47;Non;;;;MR GAUJAL ANTOINE;;;
GAUJAL1;;34850;PINET;06.84.13.25.36;;Non;;;;MME S. ARNAUD GAUJAL;;chateaudepinet@voila.fr;
GAUJAL2;;11100;NARBONNE;04.68.32.16.67;04.68.32.16.39;Non;;;;MELLE A VIRGINIE ARNAUD GAUJAL;;;
GAY;;34190;AGONES;04.67.73.74.81;;Non;;;;Monsieur GAY Roland;;;
GELY 1;;30630;CORNILLON;06.42.45.84.77;;Non;;;;LES VIGNERONS DE ST GELY SCA;;;
GELY SOPHIE;;11590;OUVEILLAN;04.68.46.81.03;04.68.46.05.73;Non;;;;MME GELY SOPHIE;;;
GENERAC;;30510;GENERAC;04.66.01.12.13;04.66.01.38.85;Non;;;;SCA COSTIERES ET SOLEIL;;cedricdrouet@vignoblesdusoleil.fr;
GENERALE DES VINS( BAILLET);;30510;GENERAC;06.10.18.21.44;04.66.01.38.58;Non;;;;Sarl Générale Des Vins Méditerranéens;;;
GENESTIERE;;30126;TAVEL;04.66.50.07.03;;Non;;;;SCEA DOMAINE GENESTIERE;;;
GERARD BERTRAND;;11100;NARBONNE;04.68.45.36.00;04.68.45.27.17;Non;;;;SAS SPH  GERARD BERTRAND;;;
GERLAND;;32110;PANJAS;05.62.09.07.11;;Non;;;;LES VIGNERONS DU GERLAND;;;
GERS SELECTION;;32100;CONDOM;;;Non;;;;GERS SELECTION TERROIR;;;
GERUS-CASADEVALL;;30200;ST ETIENNE DES SORTS;04.66.79.26.91;04.66.79.26.91;Non;;;;EARL GERUS-CASADEVALL;;;
GIACONDA;;84230;CHATEAUNEUF DU PAPE;04.90.83.70.31;04.90.83.51.97;Non;;;;GIACONDA SARL;;contact@famillebrechet.fr;
GIBELIN OLIVIER;;30600;GALLICIAN;04.66.73.33.00;04.66.53.46.21;Non;;;;MONSIEUR GIBELIN OLIVIER;;;
GIGEAN (COOP);;34770;GIGEAN;;;Non;;;;T.V.D / GIGEAN;;;
GIGNAC (COOP);;34150;GIGNAC;04.67.57.51.94;04.67.57.89.00;Non;;;;TOURS ET TERROIRS D'ANIANE;;;
GIGOGNAN;;84700;SORGUES;04.90.39.57.46;04.90.39.15.28;Non;;;;SCEA CHATEAU GIGOGNAN;;;
GIGONDAN;;26770;ST PANTALEON LES VIGNES;;;Non;;;;EARL GIGONDAN M ET FILS;;;
GILPHINE;;30390;THEZIERS;04.66.57.55.24;;Non;;;;EARL DOMAINE GILPHINE;;;
GIMIE FRANCOIS;;34340;CAPESTANG;04.67.93.34.46;04.67.93.34.46;Non;;;;GIMIE FRANCOIS;;moulingimie@hotmail.fr;
GINESTO;;11120;GINESTAS;04.68.46.12.25;04.68.46.31.67;Non;;;;CAVE COOPERATIVE LA GINESTAS;;la-ginesto@wanadoo.fr;
GIRAN;;30640;BEAUVOISIN;04.66.01.92.57;;Non;;;;EARL CHATEAU AMPHOUX GIRAN;;;
GIRARDIERE;;84110;RASTEAU;;;Non;;;;DOMAINE DE LA GIRARDIERE;;;
GIULIANI MARIE-JOSE;;30700;LA CAPELLE MASMOLENE;04.66.37.32.33;;Non;;;;MME GIULIANI MARIE-JOSE;;;
GLEIZES JEAN;;11590;OUVEILLAN;04.68.46.02.69;04.68.46.05.51;Non;;;;SARL JEAN GLEIZES;;info@domaine-jean-gleizes.com;
GOBE BENEDICTE;;11800;AIGUES VIVES;06.83.51.68.88;;Non;;;;MME GOBE BENEDICTE;;;
GOICHOT;;21200;BEAUNE;03.80.25.91.30;03.80.25.91.29;Non;;;;SA ANDRE GOICHOT ET FILS;;;
GONNET;;84370;BEDARRIDES;04.90.33.00.22;04.90.33.20.27;Non;;;;GONNET EARL LES FILS D ETIENNE GONNET;;egonnet@terre-net.fr;
GOULT;;84220;GOULT;04.90.72.20.04;04.90.72.42.52;Non;;;;SCA LES VIGNERONS REUNIS;;;
GOUTINES;;34360;SAINT CHINIAN;06.64.98.42.91;;Non;;;;MR CHRISTOPHE GOUTINES;;;
GOXE JEAN FRANCOIS;;69110;SAINTE FOY LES LYON;06.10.60.20.05;04.68.46.98.26;Non;;;;GOXE JEAN FRANCOIS;;;
GRAFFAND ERIC;;30760;LAVAL ST ROMAN;04.66.50.36.94;;Non;;;;DOMAINE GRAFFAND DE;;graffand.eric@neuf.fr;
GRAMBOIS;;84240;GRAMBOIS;;;Non;;;;COOPERATIVE DES COTEAUX;;;
GRAND CORBIERE;;30220;AIGUES MORTES;04.66.53.76.00;;Non;;;;GFA DU GRAND CORBIERE;;domainegrandcorbieres@orange.fr;
GRAND SUD VINS;;34201;SETE CEDEX;04.67.46.67.90;04.67.46.67.99;Non;;;;ETS GRAND SUD VINS;;gsv@grandsudvins.fr;
GRANDE CASSAGNE;;30800;SAINT GILLES;04.66.87.32.90;04.66.87.32.90;Non;;;;G.A.E.C. GRANDE CASSAGNE;;;
GRANDS BOIS;;84290;STE CECILE LES VIGNES;04.90.30.81.86;04.90.30.87.94;Non;;;;SCEA DOMAINE LES GRANDS BOIS;;mbesnardeau@grands-bois.com;
GRANGEON;;84110;SABLET;04.90.46.96.12;;Non;;;;EARL DENIS GRANGEON;;;
GRANGETTE (DMNE);;30800;ST GILLES;04.66.87.18.44;;Non;;;;GFA Grangette;;;
GRANGETTO;;30132;CAISSARGUES;04.66.38.24.80;04.66.38.24.80;Non;;;;Mr GRANGETTO DENIS;;domainecambourin@wanadoo.fr;
GRANIER BRUNO;;34890;MAGALAS;04.67.36.11.70;;Non;344;;;MR GRANIER BRUNO;;;
GRANIER1;;34290;SERVIAN;04.67.39.10.39;04.67.98.74.65;Non;;;;SCEA GRANIER;;;
GRAPPE CEVENOLE;;30380;ST CHRISTOL LES ALES;04.66.60.77.66;04.66.60.84.76;Non;;;;SCA LA GRAPPE CEVENOLE;;lagrappecevenole@wanadoo.fr;
GRAVAS;;84190;GIGONDAS;;;Non;;;;SARL GRAVAS;;;
GRAVEGEAL;;34270;FONTANES;0467869178;;Non;;;;SCEA MAS DE JON;;SIRET 480 858 968 00013;
GRAVEIRETTE;;84370;BEDARRIDES;06.83.07.14.41;04.90.51.74.01;Non;;;;SARL LA GRAVEIRETTE;;;
GRAVILLAS;;84110;SABLET;04.90.46.90.20;04.90.46.96.71;Non;;;;CAVE LE GRAVILLAS;;cave.gravillas@wanadoo.fr;
GREGOIRE LAURENT;;44330;MOUZILHON;02.51.71.77.93;02.40.36.37.88;Non;;;;ME LAURENT GREGOIRE;;muscadet.laurent.gregoire@orange.fr;
GRES ST PAUL;;34400;LUNEL;04.67.71.27.90;04.67.71.73.76;Non;;;;GFA GRES ST PAUL;;;
GREZAN (CHATEAU DE);;34480;LAURENS;04.67.90.27.46;04.67.90.29.01;Non;;;;SCEA CHATEAU DE GREZAN;;;
GSV;;34201;SETE CEDEX;04.67.46.67.90;04.67.46.67.99;Non;;;;GRAND SUD VINS;;gsv@grandsudvins.fr;
GUIBAL;;34800;CLERMONT L'HERAULT;04.67.96.03.64;09.63.59.09.56;Non;;;;ETS GUIBAL FRERES;;cgat.guibal@orange.fr;
GUIGUES EDMOND;;84150;VIOLES;04.90.70.92.07;;Non;;;;MR GUIGUES EDMOND;;;
GUILLON PHILIPPE;;30800;SAINT GILLES;04.66.87.30.30;04.66.87.17.46;Non;;;;MR GUILLON PHILIPPE;;;
GUIOT CHATEAU;;30800;ST GILLES;04.66.73.30.86;;Non;;;;GFA CHATEAU GUIOT;;;
GUITARD;;30370;AIGUES VIVES;04.66.51.78.15;;Non;;;;SARLU VIGNOBLES C.GUITARD;;;
GUY BERNARD;;34490;CAUSSES ET VEYRAN;04.67.37.78.30;;Non;;;;MR GUY BERNARD;;;
GVS;;69220;SAINT JEAN D ARDIERES;;;Non;;;;G.V.S;;;
HAMEAU CARCES;;83570;CARCES;04.94.04.53.54;;Non;;;;HAMEAU DES VIGNERONS;;;
HAUTERIVES;;34370;CAZOULS LES BEZIERS;04.67.93.61.23;04.67.93.61.23;Non;;;;INDIVISION L. D'HAUTERIVES;;;
HENRY RIUS;;11510;CAVES;04.68.45.79.18;04.68.45.79.18;Non;;;;MR RIUS HENRY;;;
HENRY1;;34230;PUILACHER;04.67.96.72.32;04.67.89.45.64;Non;;;;SCEA HENRY;;;
HEREPIAN;;34600;HEREPIAN;04.67.95.03.53;04.67.95.37.63;Non;;;;COOP DE HEREPIAN;;;
HERITIERS;;84810;AUBIGNAN;04.90.62.60.39;04.90.62.60.46;Non;;;;EARL LES HERITIERS DE MARCEL REY;;04.90.62.60.39CAVE/04.90.62.63.31;
HIRST FRANCOISE;;30129;MANDUEL;04.66.20.28.57;;Non;;;;MME HIRST FRANCOISE;;;
HORTALA SCEA;;11560;FLEURY D'AUDE;04.68.33.37.74;04.68.33.37.75;Non;;;;SCEA HORTALA;;vins-hortala@wanadoo.fr;
HOSPITALIERS;;34400;SAINT CHRISTOL;04.67.86.03.50;04.67.86.90.02;Non;;;;SCEA CHATEAU DES HOSPITALIERS;;martin-pierrat@wanadoo.fr;
HUBERT DE MOROGUES;;30260;BRAGASSARGUES;06.30.80.38.39;;Non;;;;DOMAINE DE ROUX;;morogues@aol.com;
HUC GELY GFA;;11110;COURSAN;04.68.33.36.30;04.68.33.91.19;Non;;;;GFA GELY HUC;;;
ILE DE RE CAVE COOP;;17580;LE BOIS PLAGE-EN- RE;05.46.09.23.09;05.46.09.09.26;Non;;;;CAVE COOPERATIVE;;;
INDIVISION GAUJAL;;34550;BESSAN;04.67.77.41.56;04.67.30.19.47;Non;;;;INDIVISION GAUJAL;;;
INOSUD;;30360;CRUVIERS-LASCOURS;04.66.83.21.52;04.66.83.22.70;Non;;;;INOSUD SA;;sziarkowski@grapsud.com;
ISSERT JEANINE;;34190;LAROQUE;04.67.73.65.23;04.67.73.65.23;Non;;;;MME ISSERT JEANINE;;;
IZARD;;34310;MONTADY;06.11.58.02.84;04.67.90.73.35;Non;;;;IZARD MICHEL;;SIRET : 430 862 235 00016;
J.LOUIS ARNAUD;;34290;MONTBLANC;04.67.98.60.41;;Non;;;;MR ARNAUD JEAN LOUIS;;;
J.M RICHARDS;;30260;VIC LE FESQ;06.13.02.97.31;;Non;;;;RICHARD JEAN MARIE;;;
JABOULET;;26602;TAIN L'HERMITAGE CEDEX;04.75.84.68.93;04.75.84.56.14;Non;;;;JABOULET PAUL AINE;;e.bernard@jaboulet.com;
JACOMO;;34290;SERVIAN;04.67.39.12.22;04.67.39.31.05;Non;;;;MR JACOMO / DOMAINE DE L'ARGELIERE;;;
JACUMIN ET FILS;;84231;CHATEAUNEUF DU PAPE CEDEX;04.90.83.78.55;;Non;;;;EARL ALAIN ET SYLVETTE JACUMIN ET FILS;;;
JAMES SAMSON;;84820;VISAN;;;Non;;;;M. JAMES SAMSON;;;
JAMET CAVES;;84350;COURTHEZON;04.90.70.72.78;04.90.70.29.61;Non;;;;SARL CAVES JAMET;;;
JAUFFRET;;30615;ROCHEFORT DU GARD;;;Non;;;;EARL JAUFFRET;;;
JAUME PATRICK;;84100;ORANGE;04.90.34.23.51;;Non;;;;JAUME PATRICK;;;
JEAN SCA CHATEAU;;84850;TRAVAILLAN;04.90.65.88.93;04.90.65.88.96;Non;;;;SCA CHATEAU SAINT JEAN;;chateau.raspail@wanadoo.fr;
JEANJACQUES;;30600;VAUVERT;06.13.23.92.59;;Non;;;;EARL VIGNOBLES JEANJACQUES;;;
JEANJEAN;;34725;SAINT FELIX DE LODEZ;04.67.88.80.00;04.67.88.81.76;Non;;;;S.A JEANJEAN;;;
JEANNE;;34760;BOUJAN;04.67.30.20.90;04.67.30.20.90;Non;;;;EARL DOMAINE DE LA JEANNE;;domainelajeanne@wanadoo.fr;
JEUNE ELIE;;84232;CHATEAUNEUF DU PAPE CEDEX;04.90.83.70.28;04.90.83.78.07;Non;;;;VIGNOBLES ELIE JEUNE SAS;;;
JONQUIERES ST VINCENT COOP;;30300;JONQUIERES ST VINCENT;04.66.74.50.07;04.66.74.49.40;Non;;;;SCA LES VIGNERONS;;;
JOUBERT;;84350;COURTHEZON;;;Non;;;;EARL FONT DE JOUBERT;;;
JUBAIN PATRICE;;84290;CAIRANNE;06.16.04.49.25;;Non;;;;DOMAINE PATRICE JUBAIN;;;
JULLIEN MICHEL;;30130;PONT SAINT ESPRIT;04.66.39.22.38;;Non;;;;EARL MICHEL JULLIEN;;;
JUSTAMON;;84101;ORANGE;04.90.34.12.28;04.90.34.28.64;Non;;;;ETS JUSTAMON;;;
KRAUTZ;;02953;GABLENZ-KROMLAU;;;Non;;;;KRAUTZ EBERHARD;;;
L' AURANE DMNE;;83450;PIERREFEU DU VAR;;;Non;;;;DOMAINE DE L 'AURANE;;;
L'AQUEDUC;;30700;SAINT MAXIMIN;06.15.21.40.59;;Non;;;;EARL DOMAINE DE L' AQUEDUC;;;
L'ENCLAVE DES MAS;;34320;ROQUESSELS;09.79.95.63.59;04.67.90.20.06;Non;;;;SARL L'ENCLAVE DES MAS;;;
L'HERITAGE;;34290;ESPONDEILHAN;06.84.16.86.56;;Non;;;;GAEC DOMAINE DE L'HERITAGE;;;
L'ISLE DES SABLES;;13200;ARLES;04.90.96.38.25;;Non;;;;EARL L'ISLE DES SABLES;;;
L'OCCITANE LES VIGNERONS;;34290;SERVIAN;04.67.39.94.11;04.67.39.94.18;Non;;;;LES VIGNERONS DE L'OCCITANE;;regie.occitane@clamery.fr;
L'OLIVERAIE;;07700;ST JUST D'ARDECHE;04.75.04.69.58;04.75.50.08.58;Non;;;;EARL DOMAINE DE L'OLIVERAIE;;;
L'OR DE LINE;;84230;CHATEAUNEUF DU PAPE;04.90.83.74.03;;Non;;;;DOMAINE L'OR DE LINE;;lordeline@free.fr;
L'OUSTAL;;11303;LIMOUX;04.68.74.79.40;;Non;;;;"EURL L'OUSTAL ""ANNE DE JOYEUSE""";;;
L.BOUILLARD;;30200;ST LAURENT DE CARNOLS;04.66.82.16.57;04.66.82.74.70;Non;;;;BOUILLARD LAURENT;;;
LA BOULIE;;13330;PELISSANNE;04.90.55.03.27;;Non;;;;SCEA LA BOULIE;;SIRET 41 421 120 010 0013;
LA CADIERENNE;;83;LA CADIERE D'AZUR;;;Non;;;;CAVE LA CADIERENNE;;;
LA CAVALERIE;;30300;BEAUCAIRE;;;Non;;;;SCE DOMAINE DE LA CAVALERIE;;;
LA DOMERGUE DMNE;;34410;SAUVIAN;04.67.32.18.12;;Non;;;;DMNE DE LA DOMERGUE;;michelescande@ladomergue.com;
LA FORET;;13104;MAS THIBERT;04.90.98.70.05;04.90.98.74.97;Non;;;;SCA DOMAINE DE LA FORET;;sca.foret@wanadoo.fr;
LA GIRARDIERE DMNE;;84110;RASTEAU;;;Non;;;;DOMAINE DE LA GIRARDIERE;;;
LA GRAND'TERRE;;30170;ST HIPPOLYTE DU FORT;06.89.96.82.36;04.66.53.24.37;Non;;;;DOMAINE LA GRAND'TERRE;;;
LA MARINE( LES SOURCES DE);;30127;BELLEGARDE;04.66.01.12.57;04.66.01.12.57;Non;;;;EARL LES SOURCES DE LA MARINE;;lessourcesdelamarine@wanadoo.fr;
LA MOTTE D AIGUES;;84240;LA MOTTE D AIGUES;;;Non;;;;CAVE COOPERATIVE VINICOLE;;;
LA NERTHE CHATEAU;;84232;CHATEAUNEUF DU PAPE CEDEX;;;Non;;;;SCA CHATEAU LA NERTHE;;;
LA PATIENCE;;30210;LEDENON;04.66.37.40.99;04.66.37.40.99;Non;;;;E.A.R.L LA PATIENCE;;domaine-patience@tele2.fr;
LA PATIENCE 2;;30320;BEZOUCE;04.66.37.40.99;04.66.75.95.94;Non;;;;EARL DOMAINE DE LA PATIENCE;;www.domaine-patience.com;
LA PRADES;;34480;PUISSALICON;04.67.36.18.73;;Non;;;;GFA DOMAINE DE LA PRADE;;;
LA SOUSTO;;84230;CHATEAUNEUF DU PAPE;04.90.83.73.81;;Non;;;;SCEA LA SOUSTO;;;
LA TUILERIE;;30760;SAINT JULIEN DE PEYROLAS;;;Non;;;;GAEC LA TUILERIE;;;
LABASTIDE DE LEVIS;;81150;MARSSAC SUR TARN;;;Non;;;;COOP DE LABASTIDE DE LEVIS;;;
LABLACHERE;;07230;LABLACHERE;04.75.36.65.37;04.75.36.69.25;Non;;;;CAVE COOPERATIVE LABLACHERE;;;
LACHETEAU;;44194;CLISSON CEDEX;02.40.36.66.00;;Non;;;;ETS LACHETEAU;;;
LACHETEAU 1;;49230;TILLIERES;02.41.70.45.93;;Non;;;;ETS SAS LACHETEAU;;;
LACROIX;;30102;ALES CEDEX;04.66.83.10.61;04.66.52.74.49;Non;;;;SARL LACROIX;;;
LAGARDE CLAUDE;;30250;VILLEVIEILLE;06.09.69.44.58;;Non;;;;MR LAGARDE CLAUDE;;;
LAGUNA;;34460;ROQUEBRUN;06.81.11.13.67;;Non;;;;JEAN LAGUNA FLORENCE;;;
LALAURIE JEAN CHARLES;;11590;OUVEILLAN;04.68.46.84.96;04.68.46.93.92;Non;;;;SARL LALAURIE JEAN CHARLES;;lalaurie@domaine-lalaurie.com;
LALOMA ERIC;;34500;BEZIERS;04.67.76.75.39;;Non;;;;MR LALOMA ERIC;;aimee.laloma34@orange.fr;
LAMARGUE;;30800;ST GILLES;04.66.87.31.89;04.66.87.41.87;Non;;;;SCI DU DOMAINE DE LAMARGUE;;;
LAMBROIS;;07700;ST MARCEL D'ARDECHE;04.75.04.62.46;04.75.98.65.87;Non;;;;GAEC LAMBROIS;;gaeclambrois@hotmail.fr;
LAMOUR;;30127;BELLEGARDE;06.09.56.51.38;04.66.01.17.03;Non;;;;G.F.A LAMOUR;;;
LANDIRAS (CAVE);;33720;LANDIRAS;05.57.98.07.20;;Non;;;;ETS CAVES DE LANDIRAS;;;
LANSARGUES (COOP);;34130;LANSARGUES;04.67.86.72.07;;Non;;;;SCA LES VIGNERONS DE LANSARGUES;;;
LARDET-VEVE;;30129;MANDUEL;04.66.20.23.37;;Non;;;;MR PIERRE LARDET-VEVE;;;
LAUGIER;;30210;COLLIAS;;;Non;;;;MR LAUGIER DENIS;;;
LAURENS;;34480;LAURENS;04.67.90.28.23;04.67.95.98.71;Non;;;;LES MAITRES VIGNERONS DU FAUGEROIS;;FANNYADMSURFAUGERES0467959870;
LAURENT ROBERT;;30630;VERFEUIL;;;Non;;;;MONSIEUR ROBERT LAURENT;;;
LAURONT (DMNE);;30350;MASSANES;04.66.83.80.85;;Non;;;;Mr LAURONT JEAN-JACQUES;;SIRET 41878870900016;
LAVAU MOURET;;84150;VIOLES;04.90.70.98.70;04.90.70.98.79;Non;;;;LAVAU SAS;;info@lavau.eu;
LAVILLEDIEU DU TEMPLE;;30510;GENERAC;06 10 18 21 44;04 66 01 38 58;Non;;;;SARL GENERALE DES VINS;;;
LE BOULOU;;66160; LE BOULOU;04.68.83.16.94;04.68.83.29.62;Non;;;;LES VIGNERONS DU VALLESPIR;;SIRET 77613600400012;
LE CLOCHER VERT;;34480;ST GENIES DE FONTEDIT;04.67.36.22.84;04.67.36.24.22;Non;;;;SCA LE CLOCHER VERT;;;
LE CLOS DE BELLEVUE;;34400;LUNEL;04.67.83.24.83;04.67.71.48.23;Non;;;;EARL LE CLOS DE BELLEVUE;;muscatlacoste@gmail.com;
LE COURON;;07700;ST MARCEL D'ARDECHE;04.75.98.72.67;;Non;;;;DORTHE JEAN LUC;;;
LE MOAL EVELYNE;;34160;BUZIGNARGUES;04.67.86.15.29;;Non;;;;LE MOAL EVELYNE;;lemoalyannick@sfr.fr;
LE PLAISIR;;84290;CAIRANNE;04.90.46.84.05;04.90.46.84.05;Non;;;;SCEA DOMAINE LE PLAISIR;;;
LE POUGET;;34230;LE POUGET;04.67.96.82.87;04.67.88.72.97;Non;;;;LES VIGNERONS DE LA VICOMTE;;vignerons.vicomte@free.fr;
LE ROSE DE BESSAN;;34550;BESSAN;04.67.77.42.03;04.67.77.50.42;Non;;;;SCA LE ROSE DE BESSAN;;;
LECQUES COOP;;30250;LECQUES;04.66.80.12.03;04.66.80.10.72;Non;;;;CAVE COOPERATIVE VINICOLE;;;
LEDENON;;30210;LEDENON;04.66.37.16.81;04.66.37.16.81;Non;;;;CAVE COOPERATIVE DE LEDENON SCA;;cavecoopledenon@orange.fr;
LEDIGNAN;;30350;LEDIGNAN;04.66.83.40.80;04.66.60.41.24;Non;;;;CAVE COOPERATIVE DES VIGNERONS;;;
LEMOINE;;07220;SAINT MONTAN;04.75.52.79.51;04.75.52.69.68;Non;;;;SCEA DOMAINE DE DURLE;;;
LEONETTI BENOIT;;34700;LES PLANS;06.88.43.05.73;;Non;;;;MR LEONETTI BENOIT;;l.leonettibenoit@orange.fr;
LEP AGRICOLE;;84100;ORANGE;;;Non;;;;L.E.P AGRICOLE ET VITICOLE;;;
LES AGAPES;;89000;AUXERRE;;;Non;;;;LES AGAPES;;;
LES CATALANS (VIGNERONS);;66962;PERPIGNAN CEDEX 9;;;Non;;;;LES VIGNERONS CATALANS;;;
LES COSTES DE ST GENIES;;30150;SAINT GENIES DE COMOLAS;04.66.50.05.28;;Non;;;;EARL LES COSTES DE ST GENIES;;;
LES DOUCEURS DE SOPHIE;;30170;ST HYPPOLITE DU FORT;04.66.77.94.84;04 66 77 94 84;Non;;;;EARL LES DOUCEURS DE SOPHIE;;;
LES ESPRITS SAINS;;30130;SAINT ALEXANDRE;04.66.39.18.64;;Non;;;;SCEA LES ESPRITS SAINS;;;
LES GRAVES DU PREVOT;;11250;POMAS;;;Non;;;;SCEA LES GRAVES DU PREVOT;;;
LES MOUGERES;;34160;GALARGUES;04.67.86.98.11;;Non;;;;GAEC LES MOUGERES;;;
LES PLANTADES;;30300;BEAUCAIRE;04.66.59.35.28;;Non;;;;SCEA PLANTFRUITS;;;
LES SOURCES;;30230;RODILHAN;;;Non;;;;Domaine Les Sources;;;
LES VIGNERONS DE LA MEDITERRAN;;11104;NARBONNE CEDEX;04.68.42.75.17;04.68.42.7530;Non;;;;SA LES VIGNERONS DE LA MEDITERRANEE;;;
LES VIGNOBLES MONTAGNAC;;34530;MONTAGNAC;04.67.24.03.74;04.67.24.14.78;Non;;;;LES VIGNOBLES MONTAGNAC;;cooperative.montagnac@wanadoo.fr;
LEYRIS 1;;26230;CHANTEMERLE LES GRIGNAN;04.75.98.58.61;;Non;;;;FREDERIC LEYRIS;;frederic.leyris0093@orange.fr;
LEYRIS-MAZIERE;;30260;CANNE ET CLAIRAN;04.66.93.05.98;;Non;;;;MR GILLES LEYRIS;;;
LEZAN (COOP);;30140;MASSILLARGUES ATUECH;04.66.61.81.64;04.66.61.85.84;Non;;;;SCA VIGNOBLE DE LA PORTE DES CEVENNES;;cavecooplezan@wanadoo.fr;
LIMAN;;84550;MORNAS;04.90.29.69.11;;Non;;;;ROBERT BRUNEL SAS;;;
LINQUIERE;;34360;VILLESPASSANS;04.67.38.25.87;;Non;;;;DOMAINE DE LA LINQUIERE;;;
LINSOLAS DOMINIQUE;;30127;BELLEGARDE;04.66.01.75.12;;Non;;;;MONSIEUR LINSOLAS DOMINIQUE;;;
LIOTY VALERIE;;84100;ORANGE;04.90.34.51.81;04.90.51.04.44;Non;;;;MADAME LEOTY VALERIE;;;
LIRAC;;30126;SAINT LAURENT DES ARBRES;;;Non;;;;CAVE COOPERATIVE DE LIRAC;;;
